"","tStamp","score","scoreSentiment"
"18",1485672960,5.8,"NA"
"19",1485674760,7.4,"3.37"
"20",1485676560,2.29,"NA"
"21",1485678360,9.64,"4.81"
"22",1485680160,2.73,"NA"
"23",1485681960,4.29,"6.4"
"24",1485683760,3.88,"NA"
"25",1485685560,9.06,"5.49"
"26",1485687360,8.46,"NA"
"27",1485689160,9.81,"3.83"
"28",1485690960,1,"NA"
"29",1485692760,1,"3.55"
"30",1485694560,1,"NA"
"31",1485696360,7.28,"4.87"
"32",1485698160,6.76,"NA"
"33",1485699960,10,"5.4"
"34",1485701760,6.31,"NA"
"35",1485703560,6.62,"4.98"
"36",1485705360,2.47,"NA"
"37",1485707160,6.15,"4.83"
"38",1485708960,6.01,"NA"
"39",1485710760,5.28,"6.11"
"40",1485712560,1.2,"NA"
"41",1485714360,5.12,"6.69"
